aircraft_id,region,signal_strength,message_type,response_time,error_code,timestamp
UAL865,SW,-105.5,VDL,3.97,404,2025-06-02 12:52:00
UAL906,SW,-82.8,CPDLC,8.38,101,2025-04-13 10:29:00
NKS569,SW,-79.25,ACARS,4.9,0,2025-04-18 10:28:00
FFT724,NE,-81.99,ACARS,9.45,101,2025-05-04 07:38:00
FFT697,SW,-87.96,CPDLC,1.14,0,2025-04-03 16:53:00
SWA425,SE,-95.43,VDL,1.11,0,2025-04-26 06:59:00
UAL564,MW,-64.34,ACARS,1.2,0,2025-05-25 11:50:00
AAL158,MW,-64.73,ACARS,2.47,0,2025-05-18 00:24:00
JBU237,SE,-81.43,CPDLC,1.7,0,2025-04-25 23:44:00
NKS277,MW,-85.27,VDL,9.21,303,2025-05-27 09:29:00
SWA315,MW,-79.39,FANS,4.2,0,2025-05-29 04:26:00
FFT861,INTL,-109.29,CPDLC,7.33,303,2025-04-14 03:00:00
FFT762,SE,-68.79,FANS,4.33,0,2025-05-29 01:37:00
SWA421,NE,-88.3,VDL,9.04,0,2025-04-24 06:16:00
UAL208,INTL,-92.28,CPDLC,9.48,101,2025-05-18 13:13:00
DAL831,NW,-84.18,FANS,4.04,202,2025-04-03 06:40:00
UAL278,SW,-107.19,FANS,3.74,505,2025-04-25 23:38:00
UAL830,MW,-75.73,ACARS,7.29,101,2025-05-07 14:18:00
AAL644,INTL,-84.17,CPDLC,2.36,0,2025-05-28 05:22:00
UAL896,INTL,-81.28,FANS,4.65,0,2025-04-02 11:19:00
SWA213,SW,-65.24,VDL,3.16,505,2025-04-16 19:23:00
NKS522,NW,-62.87,FANS,9.19,303,2025-04-26 19:17:00
NKS962,INTL,-83.46,CPDLC,4.24,0,2025-05-01 16:51:00
NKS933,SW,-74.9,VDL,8.61,505,2025-05-16 11:16:00
NKS368,SW,-70.61,ACARS,2.08,505,2025-04-16 11:12:00
NKS464,SW,-87.38,FANS,5.66,303,2025-04-26 04:48:00
SWA190,MW,-67.92,ACARS,4.91,303,2025-04-04 10:54:00
SWA887,NW,-94.84,CPDLC,9.61,0,2025-04-22 19:45:00
SWA707,NE,-86.11,CPDLC,1.49,0,2025-04-13 17:04:00
UAL764,SW,-83.2,CPDLC,3.95,0,2025-04-15 03:39:00
UAL651,SW,-92.31,FANS,9.21,0,2025-04-29 17:49:00
NKS779,INTL,-83.08,VDL,5.28,0,2025-05-28 04:50:00
FFT121,MW,-66.68,CPDLC,8.68,101,2025-05-14 11:15:00
SWA353,INTL,-103.58,VDL,2.53,202,2025-05-03 07:40:00
SWA660,SE,-70.7,CPDLC,1.11,0,2025-04-23 18:25:00
JBU154,SE,-85.8,CPDLC,2.91,0,2025-04-20 07:31:00
DAL516,SW,-87.14,ACARS,3.05,0,2025-05-03 21:21:00
DAL257,INTL,-101.64,VDL,4.94,0,2025-06-07 06:51:00
DAL496,SW,-71.19,CPDLC,4.95,0,2025-04-05 02:57:00
FFT397,SW,-65.62,VDL,2.08,404,2025-05-16 22:55:00
UAL910,NE,-92.31,ACARS,4.39,404,2025-05-07 15:13:00
NKS354,MW,-73.61,VDL,6.37,303,2025-05-17 02:59:00
DAL744,NE,-82.56,VDL,2.54,0,2025-04-11 08:37:00
JBU420,INTL,-94.25,ACARS,5.71,0,2025-04-30 21:40:00
AAL724,SE,-65.67,VDL,1.22,101,2025-05-21 21:16:00
UAL594,SW,-67.05,VDL,7.07,101,2025-04-27 13:22:00
NKS904,NE,-83.93,CPDLC,2.61,0,2025-04-08 04:27:00
