aircraft_id,airline,model,manufacture_year,fleet_type,airline_name,hub,fleet_size
UAL865,UAL,B757,2017,Wide,United Airlines,ORD,850
UAL906,UAL,B757,2009,Wide,United Airlines,ORD,850
NKS569,NKS,A319,2016,Narrow,Spirit Airlines,FLL,250
FFT724,FFT,A320neo,2006,Narrow,Frontier Airlines,DEN,200
FFT697,FFT,A320neo,2005,Narrow,Frontier Airlines,DEN,200
SWA425,SWA,B737-MAX,2007,Narrow,Southwest Airlines,DAL,700
UAL564,UAL,B757,2012,Wide,United Airlines,ORD,850
AAL158,AAL,B737-800,2018,Narrow,American Airlines,DFW,950
JBU237,JBU,A321,2005,Wide,JetBlue,JFK,300
NKS277,NKS,A319,2017,Narrow,Spirit Airlines,FLL,250
SWA315,SWA,B737-MAX,2016,Narrow,Southwest Airlines,DAL,700
FFT861,FFT,A320neo,2008,Narrow,Frontier Airlines,DEN,200
FFT762,FFT,A320neo,2006,Narrow,Frontier Airlines,DEN,200
SWA421,SWA,B737-MAX,2020,Narrow,Southwest Airlines,DAL,700
UAL208,UAL,B757,2021,Wide,United Airlines,ORD,850
DAL831,DAL,A320,2021,Narrow,Delta Air Lines,ATL,900
UAL278,UAL,B757,2005,Wide,United Airlines,ORD,850
UAL830,UAL,B757,2008,Wide,United Airlines,ORD,850
AAL644,AAL,B737-800,2012,Narrow,American Airlines,DFW,950
UAL896,UAL,B757,2005,Wide,United Airlines,ORD,850
SWA213,SWA,B737-MAX,2005,Narrow,Southwest Airlines,DAL,700
NKS522,NKS,A319,2016,Narrow,Spirit Airlines,FLL,250
NKS962,NKS,A319,2010,Narrow,Spirit Airlines,FLL,250
NKS933,NKS,A319,2008,Narrow,Spirit Airlines,FLL,250
NKS368,NKS,A319,2008,Narrow,Spirit Airlines,FLL,250
NKS464,NKS,A319,2013,Narrow,Spirit Airlines,FLL,250
SWA190,SWA,B737-MAX,2016,Narrow,Southwest Airlines,DAL,700
SWA887,SWA,B737-MAX,2008,Narrow,Southwest Airlines,DAL,700
SWA707,SWA,B737-MAX,2009,Narrow,Southwest Airlines,DAL,700
UAL764,UAL,B757,2005,Wide,United Airlines,ORD,850
UAL651,UAL,B757,2012,Wide,United Airlines,ORD,850
NKS779,NKS,A319,2019,Narrow,Spirit Airlines,FLL,250
FFT121,FFT,A320neo,2013,Narrow,Frontier Airlines,DEN,200
SWA353,SWA,B737-MAX,2005,Narrow,Southwest Airlines,DAL,700
SWA660,SWA,B737-MAX,2007,Narrow,Southwest Airlines,DAL,700
JBU154,JBU,A321,2021,Wide,JetBlue,JFK,300
DAL516,DAL,A320,2013,Narrow,Delta Air Lines,ATL,900
DAL257,DAL,A320,2014,Narrow,Delta Air Lines,ATL,900
DAL496,DAL,A320,2017,Narrow,Delta Air Lines,ATL,900
FFT397,FFT,A320neo,2005,Narrow,Frontier Airlines,DEN,200
UAL910,UAL,B757,2021,Wide,United Airlines,ORD,850
NKS354,NKS,A319,2013,Narrow,Spirit Airlines,FLL,250
DAL744,DAL,A320,2008,Narrow,Delta Air Lines,ATL,900
JBU420,JBU,A321,2008,Wide,JetBlue,JFK,300
AAL724,AAL,B737-800,2017,Narrow,American Airlines,DFW,950
UAL594,UAL,B757,2018,Wide,United Airlines,ORD,850
NKS904,NKS,A319,2010,Narrow,Spirit Airlines,FLL,250
JBU586,JBU,A321,2012,Wide,JetBlue,JFK,300
NKS838,NKS,A319,2016,Narrow,Spirit Airlines,FLL,250
DAL308,DAL,A320,2020,Narrow,Delta Air Lines,ATL,900
SWA974,SWA,B737-MAX,2012,Narrow,Southwest Airlines,DAL,700
SWA215,SWA,B737-MAX,2008,Narrow,Southwest Airlines,DAL,700
UAL557,UAL,B757,2021,Wide,United Airlines,ORD,850
DAL771,DAL,A320,2019,Narrow,Delta Air Lines,ATL,900
AAL410,AAL,B737-800,2006,Narrow,American Airlines,DFW,950
JBU672,JBU,A321,2006,Wide,JetBlue,JFK,300
SWA726,SWA,B737-MAX,2017,Narrow,Southwest Airlines,DAL,700
NKS853,NKS,A319,2017,Narrow,Spirit Airlines,FLL,250
SWA811,SWA,B737-MAX,2014,Narrow,Southwest Airlines,DAL,700
JBU893,JBU,A321,2021,Wide,JetBlue,JFK,300
DAL841,DAL,A320,2005,Narrow,Delta Air Lines,ATL,900
DAL867,DAL,A320,2019,Narrow,Delta Air Lines,ATL,900
SWA120,SWA,B737-MAX,2006,Narrow,Southwest Airlines,DAL,700
DAL833,DAL,A320,2014,Narrow,Delta Air Lines,ATL,900
AAL725,AAL,B737-800,2014,Narrow,American Airlines,DFW,950
JBU427,JBU,A321,2018,Wide,JetBlue,JFK,300
DAL512,DAL,A320,2015,Narrow,Delta Air Lines,ATL,900
DAL174,DAL,A320,2008,Narrow,Delta Air Lines,ATL,900
NKS152,NKS,A319,2015,Narrow,Spirit Airlines,FLL,250
NKS125,NKS,A319,2016,Narrow,Spirit Airlines,FLL,250
UAL782,UAL,B757,2016,Wide,United Airlines,ORD,850
AAL528,AAL,B737-800,2011,Narrow,American Airlines,DFW,950
NKS541,NKS,A319,2020,Narrow,Spirit Airlines,FLL,250
FFT983,FFT,A320neo,2008,Narrow,Frontier Airlines,DEN,200
JBU165,JBU,A321,2020,Wide,JetBlue,JFK,300
SWA350,SWA,B737-MAX,2006,Narrow,Southwest Airlines,DAL,700
FFT885,FFT,A320neo,2019,Narrow,Frontier Airlines,DEN,200
UAL229,UAL,B757,2005,Wide,United Airlines,ORD,850
NKS287,NKS,A319,2020,Narrow,Spirit Airlines,FLL,250
NKS623,NKS,A319,2008,Narrow,Spirit Airlines,FLL,250
NKS210,NKS,A319,2014,Narrow,Spirit Airlines,FLL,250
DAL984,DAL,A320,2017,Narrow,Delta Air Lines,ATL,900
SWA827,SWA,B737-MAX,2006,Narrow,Southwest Airlines,DAL,700
JBU515,JBU,A321,2015,Wide,JetBlue,JFK,300
FFT318,FFT,A320neo,2018,Narrow,Frontier Airlines,DEN,200
NKS591,NKS,A319,2011,Narrow,Spirit Airlines,FLL,250
NKS150,NKS,A319,2009,Narrow,Spirit Airlines,FLL,250
NKS127,NKS,A319,2005,Narrow,Spirit Airlines,FLL,250
DAL845,DAL,A320,2021,Narrow,Delta Air Lines,ATL,900
SWA779,SWA,B737-MAX,2008,Narrow,Southwest Airlines,DAL,700
JBU279,JBU,A321,2012,Wide,JetBlue,JFK,300
UAL662,UAL,B757,2005,Wide,United Airlines,ORD,850
SWA705,SWA,B737-MAX,2010,Narrow,Southwest Airlines,DAL,700
DAL550,DAL,A320,2017,Narrow,Delta Air Lines,ATL,900
NKS881,NKS,A319,2008,Narrow,Spirit Airlines,FLL,250
JBU972,JBU,A321,2010,Wide,JetBlue,JFK,300
DAL143,DAL,A320,2012,Narrow,Delta Air Lines,ATL,900
UAL102,UAL,B757,2021,Wide,United Airlines,ORD,850
AAL481,AAL,B737-800,2008,Narrow,American Airlines,DFW,950
JBU401,JBU,A321,2005,Wide,JetBlue,JFK,300
SWA638,SWA,B737-MAX,2006,Narrow,Southwest Airlines,DAL,700
JBU466,JBU,A321,2015,Wide,JetBlue,JFK,300
DAL546,DAL,A320,2011,Narrow,Delta Air Lines,ATL,900
AAL624,AAL,B737-800,2013,Narrow,American Airlines,DFW,950
NKS609,NKS,A319,2006,Narrow,Spirit Airlines,FLL,250
DAL180,DAL,A320,2013,Narrow,Delta Air Lines,ATL,900
JBU558,JBU,A321,2021,Wide,JetBlue,JFK,300
SWA202,SWA,B737-MAX,2007,Narrow,Southwest Airlines,DAL,700
UAL696,UAL,B757,2013,Wide,United Airlines,ORD,850
JBU508,JBU,A321,2008,Wide,JetBlue,JFK,300
SWA728,SWA,B737-MAX,2014,Narrow,Southwest Airlines,DAL,700
SWA200,SWA,B737-MAX,2007,Narrow,Southwest Airlines,DAL,700
DAL435,DAL,A320,2019,Narrow,Delta Air Lines,ATL,900
UAL532,UAL,B757,2020,Wide,United Airlines,ORD,850
JBU473,JBU,A321,2021,Wide,JetBlue,JFK,300
NKS126,NKS,A319,2012,Narrow,Spirit Airlines,FLL,250
UAL708,UAL,B757,2007,Wide,United Airlines,ORD,850
FFT278,FFT,A320neo,2005,Narrow,Frontier Airlines,DEN,200
AAL994,AAL,B737-800,2009,Narrow,American Airlines,DFW,950
UAL766,UAL,B757,2016,Wide,United Airlines,ORD,850
AAL558,AAL,B737-800,2011,Narrow,American Airlines,DFW,950
FFT171,FFT,A320neo,2005,Narrow,Frontier Airlines,DEN,200
DAL600,DAL,A320,2006,Narrow,Delta Air Lines,ATL,900
FFT747,FFT,A320neo,2016,Narrow,Frontier Airlines,DEN,200
FFT301,FFT,A320neo,2014,Narrow,Frontier Airlines,DEN,200
DAL948,DAL,A320,2016,Narrow,Delta Air Lines,ATL,900
JBU430,JBU,A321,2019,Wide,JetBlue,JFK,300
SWA212,SWA,B737-MAX,2010,Narrow,Southwest Airlines,DAL,700
FFT636,FFT,A320neo,2020,Narrow,Frontier Airlines,DEN,200
NKS596,NKS,A319,2007,Narrow,Spirit Airlines,FLL,250
AAL134,AAL,B737-800,2012,Narrow,American Airlines,DFW,950
UAL719,UAL,B757,2017,Wide,United Airlines,ORD,850
AAL407,AAL,B737-800,2009,Narrow,American Airlines,DFW,950
JBU449,JBU,A321,2012,Wide,JetBlue,JFK,300
FFT640,FFT,A320neo,2018,Narrow,Frontier Airlines,DEN,200
NKS905,NKS,A319,2007,Narrow,Spirit Airlines,FLL,250
DAL695,DAL,A320,2010,Narrow,Delta Air Lines,ATL,900
SWA615,SWA,B737-MAX,2010,Narrow,Southwest Airlines,DAL,700
SWA919,SWA,B737-MAX,2012,Narrow,Southwest Airlines,DAL,700
UAL734,UAL,B757,2008,Wide,United Airlines,ORD,850
